delivery_delay_delta,transit_speed_kmh,discount_rate_normalized,profit_ratio,shipping_mode_encoded,order_item_quantity_norm,price_deviation_score,benefit_ratio,is_fraud
-1,256.6672740548595,0.159999996,0.289999992,0.0,0.2,0.0,0.9316925525523234,0
1,110.49771738551742,0.200000004,-0.800000012,0.0,0.2,0.0,0.6122242656107747,0
0,131.05517771984168,0.239999996,-0.800000012,0.0,0.2,0.0,0.6134539261319372,0
-1,161.50667531061015,0.28,0.079999998,0.0,0.2,0.0,0.8674966420317214,0
-2,344.9832936350585,0.360000016,0.449999988,0.0,0.2,0.0,0.972017991515274,0
2,114.27505480990496,0.400000004,0.059999999,0.0,0.2,0.0,0.8634791168997715,0
1,321.1280172523645,0.479999988,0.330000013,0.66,0.2,0.0,0.9353815414468546,0
1,299.41254582026147,0.51999998,0.239999995,0.66,0.2,0.0,0.9102720134201997,0
1,214.09972936534808,0.600000024,0.479999989,0.33,0.2,0.0,0.9715580361195557,0
1,231.6922894430602,0.639999984,0.479999989,0.66,0.2,0.0,0.9700843111737089,0
4,68.9015459053408,0.680000008,0.479999989,0.33,0.2,0.0,0.968610600495706,1
3,134.8718073713065,0.720000028,0.170000002,0.33,0.2,0.0,0.8889265663357087,0
2,146.36350153448635,0.800000012,0.079999998,0.33,0.2,0.0,0.8664641003356114,0
1,296.88012471270184,1.0,0.100000001,0.66,0.2,0.0,0.8691111605693015,0
1,257.2330383118825,0.0,0.050000001,0.66,0.2,0.0,0.8614234204628958,0
1,296.8706274118542,0.04,-0.800000012,0.66,0.2,0.0,0.6023775850336835,0
3,82.50969157483202,0.08,-0.769999981,0.33,0.2,0.0,0.6147868414441129,0
1,285.20215027302913,0.119999996,0.079999998,0.66,0.2,0.0,0.8684165420659545,0
1,296.95570734062454,0.159999996,0.330000013,0.66,0.2,0.0,0.9420273546571264,0
0,5383.7453329861055,0.200000004,0.280000001,1.0,0.2,0.0,0.9278721498874812,0
0,5708.903137248341,0.239999996,0.5,1.0,0.2,0.0,0.9914016027519955,0
