                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6319,                 2.4248,                 2.1393,                0.01359,                0.98611,                0.43335,                0.10445,                 1.7868,                 3.5829,                 3.6736,                0.09604,                  4e-05,                  4e-05
                      2,                 1.2412,                 2.0321,                 1.7926,                0.01568,                0.98611,                0.18153,                0.06327,                  1.881,                 3.3255,                 3.8706,               0.091088,             8.8218e-05,             8.8218e-05
                      3,                   1.17,                 1.6497,                 1.6564,                0.01914,                0.98611,                0.45919,                0.16595,                 1.9126,                 2.9202,                 3.9304,               0.086134,             0.00013446,             0.00013446
                      4,                 1.1393,                 1.4789,                 1.6571,                0.02114,                0.98611,                0.50368,                0.19379,                 1.9704,                 2.7117,                 4.3254,               0.081179,             0.00017871,             0.00017871
                      5,                 1.2083,                 1.3426,                 1.6861,                0.01741,                0.98611,                 0.7666,                0.25701,                 1.9915,                 2.5819,                 4.5076,               0.076221,             0.00022099,             0.00022099
                      6,                 1.1702,                 1.2534,                 1.6604,                0.75345,                0.80645,                0.75064,                0.25421,                 2.0113,                  2.479,                  4.607,               0.071261,             0.00026129,             0.00026129
                      7,                 1.2045,                 1.2293,                  1.662,                0.70664,                0.68056,                0.71983,                 0.2802,                  1.675,                  2.217,                 3.9405,                 0.0663,             0.00029961,             0.00029961
                      8,                  1.161,                 1.0853,                 1.6571,                0.82265,                0.79167,                 0.7904,                0.31488,                 1.7092,                 2.0946,                 3.8579,               0.061336,             0.00033595,             0.00033595
                      9,                 1.2954,                 1.1788,                 1.7298,                0.79124,                0.84722,                0.78017,                0.27864,                 2.2603,                 2.2901,                 5.9787,                0.05637,              0.0003703,              0.0003703
                     10,                 1.2536,                 1.0649,                 1.6934,                0.75199,                0.84722,                0.77671,                0.26748,                  2.118,                 2.8277,                 5.5507,               0.051403,             0.00040268,             0.00040268
