                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7828,                 2.6423,                 1.6361,                0.41089,                0.36415,                0.33798,                 0.1307,                 1.9611,                 2.3133,                 1.8318,             0.00066473,             0.00066473,             0.00066473
                      2,                 1.7986,                 1.9429,                 1.6369,                0.33733,                0.43417,                0.30124,                0.12105,                 2.0723,                 2.6464,                 1.9373,               0.001305,               0.001305,               0.001305
                      3,                 1.7831,                 1.7895,                 1.6335,                0.38254,                0.54622,                0.41261,                0.16234,                 2.0014,                 1.8493,                 1.9485,              0.0019189,              0.0019189,              0.0019189
                      4,                 1.7525,                 1.6934,                 1.6261,                0.46574,                0.59384,                0.50814,                0.20405,                 1.8853,                 2.0815,                 1.7945,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6999,                 1.5854,                 1.5822,                0.47336,                0.56649,                0.46504,                0.17196,                 2.0206,                 1.8735,                 1.8935,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.6427,                  1.488,                 1.5523,                 0.5053,                 0.4958,                0.49754,                0.20433,                 1.9719,                  1.713,                 1.8333,              0.0018416,              0.0018416,              0.0018416
                      1,                  1.779,                  2.622,                 1.6263,                0.38818,                0.33613,                0.26025,                0.08432,                 2.2224,                 2.8579,                 2.1216,             0.00066473,             0.00066473,             0.00066473
                      2,                 1.8009,                 1.9483,                 1.6433,                0.33875,                0.28126,                 0.2703,                0.10453,                 2.1529,                 2.3702,                 2.0342,               0.001305,               0.001305,               0.001305
                      3,                  1.779,                 1.7751,                  1.642,                0.40102,                0.43417,                0.34813,                0.12471,                  1.994,                 2.3817,                 1.8354,              0.0019189,              0.0019189,              0.0019189
                      4,                 1.7446,                 1.6968,                 1.6198,                0.52901,                0.60224,                 0.5499,                0.21574,                 1.9921,                 1.6337,                 1.8562,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6935,                 1.5907,                  1.582,                0.47919,                0.51261,                0.44105,                0.18266,                 1.9555,                 1.8303,                 1.8303,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.6445,                 1.4853,                 1.5501,                0.49341,                0.66387,                0.55034,                0.23276,                 1.9001,                 1.5597,                 1.7474,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.6073,                 1.4134,                 1.5253,                0.54832,                0.61625,                0.55385,                0.23907,                 1.8409,                 1.5151,                 1.7151,               0.001802,               0.001802,               0.001802
